Title,Price
Apple iPhone 14 (128 GB) - Blue,"₹69,900"
Apple iPhone 14 Plus (128 GB) - Purple,"₹79,999"
Apple iPhone 14 (128 GB) - Midnight,"₹69,900"
Apple iPhone 14 (128 GB) - Starlight,"₹69,900"
Apple iPhone 14 (128 GB) - Blue,"₹69,900"
Apple iPhone 14 (128 GB) - Purple,"₹69,999"
Apple iPhone 14 Pro Max (128 GB) - Space Black,"₹1,27,999"
Apple iPhone 14 Plus (128 GB) - Midnight,"₹79,999"
5s 16GB Original Smartphones Compatible Apple iPhone (Gold),"₹13,999"
Apple iPhone 14 (128 GB) - Yellow,"₹69,999"
Apple iPhone 14 Pro Max (256 GB) - Gold,"₹1,37,999"
Apple iPhone 14 (128 GB) - (Product) RED,"₹69,999"
Apple iPhone 14 (256 GB) - Purple,"₹79,999"
Apple iPhone 12 (64GB) - Blue,"₹53,999"
Apple iPhone 14 (256 GB) - Midnight,"₹79,999"
Apple iPhone 14 Pro (256 GB) - Deep Purple,"₹1,34,990"
Apple iPhone 14 Plus (128 GB) - Starlight,"₹79,999"
Apple iPhone 14 Plus (128 GB) - Blue,"₹79,999"
